time,temperature_2m,relative_humidity_2m,rain,wind_speed_10m
2024-03-25T00:00,2.3,68,0.0,9.6
2024-03-25T01:00,1.9,70,0.0,9.4
2024-03-25T02:00,2.8,67,0.0,10.1
2024-03-25T03:00,2.3,69,0.0,7.0
2024-03-25T04:00,1.9,74,0.0,6.8
2024-03-25T05:00,1.4,82,0.0,7.0
2024-03-25T06:00,0.9,82,0.0,6.5
2024-03-25T07:00,0.5,85,0.0,7.2
2024-03-25T08:00,0.8,88,0.0,4.3
2024-03-25T09:00,2.4,87,0.0,1.5
2024-03-25T10:00,4.4,74,0.0,0.5
2024-03-25T11:00,6.6,60,0.0,3.3
2024-03-25T12:00,8.1,50,0.0,5.7
2024-03-25T13:00,9.2,45,0.0,9.2
2024-03-25T14:00,10.1,43,0.0,12.0
2024-03-25T15:00,10.8,42,0.0,12.0
2024-03-25T16:00,11.1,49,0.0,12.4
2024-03-25T17:00,11.8,45,0.0,13.5
2024-03-25T18:00,11.3,50,0.0,10.7
2024-03-25T19:00,9.5,60,0.0,7.4
2024-03-25T20:00,8.8,47,0.0,1.8
2024-03-25T21:00,7.0,53,0.0,1.9
2024-03-25T22:00,6.7,50,0.0,1.0
2024-03-25T23:00,7.6,43,0.0,7.7
2024-03-26T00:00,8.6,40,0.0,12.4
2024-03-26T01:00,8.8,39,0.0,15.5
2024-03-26T02:00,8.7,39,0.0,16.5
2024-03-26T03:00,8.4,40,0.0,21.1
2024-03-26T04:00,8.1,43,0.0,19.5
2024-03-26T05:00,7.0,49,0.0,15.8
2024-03-26T06:00,6.7,50,0.0,12.8
2024-03-26T07:00,6.2,53,0.0,10.5
2024-03-26T08:00,6.4,56,0.0,13.0
2024-03-26T09:00,8.7,48,0.0,12.7
2024-03-26T10:00,10.5,41,0.0,19.7
2024-03-26T11:00,11.2,40,0.0,28.2
2024-03-26T12:00,11.9,39,0.0,32.2
2024-03-26T13:00,13.1,36,0.0,29.3
2024-03-26T14:00,13.7,33,0.0,26.5
2024-03-26T15:00,12.9,35,0.0,32.8
2024-03-26T16:00,12.4,36,0.0,33.0
2024-03-26T17:00,12.3,37,0.0,33.9
2024-03-26T18:00,11.8,41,0.0,34.0
2024-03-26T19:00,11.2,43,0.0,33.0
2024-03-26T20:00,10.9,45,0.0,31.1
2024-03-26T21:00,10.5,47,0.0,31.6
2024-03-26T22:00,10.5,48,0.0,28.2
2024-03-26T23:00,11.1,47,0.0,29.9
2024-03-27T00:00,11.3,48,0.0,26.3
2024-03-27T01:00,11.2,49,0.0,23.5
2024-03-27T02:00,11.6,49,0.0,20.9
2024-03-27T03:00,11.9,49,0.0,17.0
2024-03-27T04:00,11.9,49,0.0,18.9
2024-03-27T05:00,11.8,52,0.0,17.3
2024-03-27T06:00,11.5,52,0.0,14.7
2024-03-27T07:00,11.4,53,0.0,11.7
2024-03-27T08:00,11.3,55,0.0,4.9
2024-03-27T09:00,12.2,54,0.0,5.7
2024-03-27T10:00,13.9,50,0.0,11.5
2024-03-27T11:00,14.9,45,0.0,22.3
2024-03-27T12:00,16.2,42,0.0,15.2
2024-03-27T13:00,17.1,41,0.0,16.8
2024-03-27T14:00,18.8,37,0.0,13.8
2024-03-27T15:00,18.0,39,0.0,15.8
2024-03-27T16:00,16.6,42,0.0,12.1
2024-03-27T17:00,16.4,44,0.0,5.7
2024-03-27T18:00,15.0,45,0.0,6.4
2024-03-27T19:00,12.9,52,0.1,7.9
2024-03-27T20:00,11.4,59,0.0,14.9
2024-03-27T21:00,11.1,60,0.0,6.5
2024-03-27T22:00,10.8,58,0.0,4.0
2024-03-27T23:00,7.8,73,0.0,19.1
2024-03-28T00:00,7.0,77,0.0,4.9
2024-03-28T01:00,5.9,82,0.0,1.8
2024-03-28T02:00,4.9,84,0.0,4.0
2024-03-28T03:00,4.5,76,0.0,5.8
2024-03-28T04:00,4.4,73,0.0,8.8
2024-03-28T05:00,3.5,81,0.0,8.4
2024-03-28T06:00,3.7,74,0.0,9.4
2024-03-28T07:00,3.9,72,0.0,10.2
2024-03-28T08:00,4.4,74,0.0,8.1
2024-03-28T09:00,9.0,50,0.0,8.1
2024-03-28T10:00,10.4,45,0.0,26.2
2024-03-28T11:00,10.9,44,0.0,22.7
2024-03-28T12:00,10.9,45,0.0,28.5
2024-03-28T13:00,11.0,48,0.0,27.5
2024-03-28T14:00,11.0,49,0.0,17.6
2024-03-28T15:00,11.5,51,0.0,9.2
2024-03-28T16:00,11.2,59,0.0,11.1
2024-03-28T17:00,8.4,66,0.0,9.0
2024-03-28T18:00,7.1,80,0.1,8.7
2024-03-28T19:00,6.0,78,0.4,2.9
2024-03-28T20:00,5.1,84,0.0,5.2
2024-03-28T21:00,4.5,89,0.0,1.5
2024-03-28T22:00,2.6,94,0.0,2.9
2024-03-28T23:00,2.2,93,0.0,1.9
2024-03-29T00:00,2.1,90,0.0,4.3
2024-03-29T01:00,3.2,81,0.0,2.4
2024-03-29T02:00,1.9,91,0.0,5.6
2024-03-29T03:00,1.3,99,0.0,5.1
2024-03-29T04:00,1.6,95,0.0,5.9
2024-03-29T05:00,2.0,100,0.0,5.8
2024-03-29T06:00,1.6,100,0.0,4.3
2024-03-29T07:00,1.4,93,0.0,5.5
